[2025-05-22T09:27:20.345Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 10.45, qty = 0.7, Data asli baris: undefined
[2025-05-22T09:27:20.346Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 9464, qty = 0.742857143, Data asli baris: undefined
[2025-05-22T09:27:20.347Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 10.4471, qty = 0.728571429, Data asli baris: undefined
[2025-05-22T09:27:20.347Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 27.79, qty = 0.085714286, Data asli baris: undefined
[2025-05-22T09:27:20.347Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 19.45, qty = 0.057142857, Data asli baris: undefined
[2025-05-22T09:27:20.348Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 12188, qty = 4.157142857, Data asli baris: undefined
[2025-05-22T09:27:20.353Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50--: usdQtyUnit = 5.4, qty = 349.52, Data asli baris: undefined
[2025-05-22T09:27:20.353Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-50--: usdQtyUnit = 5.4, qty = 349.52, Data asli baris: undefined
[2025-05-22T09:27:20.361Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1093, qty = 1.561428571, Data asli baris: undefined
[2025-05-22T09:27:20.362Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40--: usdQtyUnit = 0.0633, qty = 1.5825, Data asli baris: undefined
[2025-05-22T09:27:20.362Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1055, qty = 1.507142857, Data asli baris: undefined
[2025-05-22T09:27:20.362Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1093, qty = 1.561428571, Data asli baris: undefined
[2025-05-22T09:27:20.363Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40--: usdQtyUnit = 0.0633, qty = 1.5825, Data asli baris: undefined
[2025-05-22T09:27:20.363Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1055, qty = 1.507142857, Data asli baris: undefined
[2025-05-22T09:27:20.363Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1093, qty = 1.561428571, Data asli baris: undefined
[2025-05-22T09:27:20.363Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40--: usdQtyUnit = 0.0633, qty = 1.5825, Data asli baris: undefined
[2025-05-22T09:27:20.363Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-70--: usdQtyUnit = 0.1055, qty = 1.507142857, Data asli baris: undefined
[2025-05-22T09:27:20.381Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45.01-Adhesive Coated Pressed: usdQtyUnit = 0.0197, qty = 0.460716332, Data asli baris: undefined
[2025-05-22T09:27:20.381Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Coated Pressed: usdQtyUnit = 0.0197, qty = 0.460818713, Data asli baris: undefined
[2025-05-22T09:27:20.382Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Coated Pressed: usdQtyUnit = 0.0197, qty = 0.460818713, Data asli baris: undefined
[2025-05-22T09:27:20.386Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-43--: usdQtyUnit = 0.0172, qty = 0.336496399, Data asli baris: undefined
[2025-05-22T09:27:20.386Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-43--: usdQtyUnit = 0.0172, qty = 0.336496399, Data asli baris: undefined
[2025-05-22T09:27:20.388Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-White: usdQtyUnit = 0.1385, qty = 3.077777778, Data asli baris: undefined
[2025-05-22T09:27:20.393Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45--: usdQtyUnit = 0.4744, qty = 0.105422222, Data asli baris: undefined
[2025-05-22T09:27:20.393Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-28--: usdQtyUnit = 461, qty = 0.164642857, Data asli baris: undefined
[2025-05-22T09:27:20.394Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-Adhesive Laminated: usdQtyUnit = 444, qty = 0.0925, Data asli baris: undefined
[2025-05-22T09:27:20.394Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-Adhesive Laminated: usdQtyUnit = 0.5218, qty = 0.108708333, Data asli baris: undefined
[2025-05-22T09:27:20.394Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-Adhesive Laminated: usdQtyUnit = 0.5218, qty = 0.108708333, Data asli baris: undefined
[2025-05-22T09:27:20.394Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-Adhesive Laminated: usdQtyUnit = 0.6477, qty = 0.1349375, Data asli baris: undefined
[2025-05-22T09:27:20.394Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-48-Adhesive Laminated: usdQtyUnit = 0.6477, qty = 0.1349375, Data asli baris: undefined
[2025-05-22T09:27:20.433Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-40--: usdQtyUnit = 0.0903, qty = 2.2575, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.453Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.454Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-45-Adhesive Impregnated: usdQtyUnit = 0.8048, qty = 17.88444444, Data asli baris: undefined
[2025-05-22T09:27:20.462Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-37.27--: usdQtyUnit = 0.1815, qty = 4.869868527, Data asli baris: undefined
[2025-05-22T09:27:20.463Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-37.18--: usdQtyUnit = 0.1805, qty = 4.854760624, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 476.16, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 476.16, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 3571.2, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 416.64, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 119.04, Data asli baris: undefined
[2025-05-22T09:27:20.470Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-62--: usdQtyUnit = 2.43, qty = 3075.2, Data asli baris: undefined
[2025-05-22T09:27:20.471Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-44--: usdQtyUnit = 2648, qty = 735.7, Data asli baris: undefined
[2025-05-22T09:27:20.482Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-31--: usdQtyUnit = 1.1111, qty = 35.84193548, Data asli baris: undefined
[2025-05-22T09:27:20.482Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-31--: usdQtyUnit = 1.1111, qty = 35.84193548, Data asli baris: undefined
[2025-05-22T09:27:20.489Z] [DEBUG]: Input untuk Feb-56031200-Nonwoven-27--: usdQtyUnit = 1.65, qty = 3138, Data asli baris: undefined
